"","ViewYes","ViewN","Notice","Comments","Control","Age","Gender","Handedness","NativeLanguage","Gesture","Language","IP","Response","StartTime","EndTime","ViewCount","MultipleView","GesturePlot"
"1","Yes","1","Definitely yes","no",13,"29","female","right-handed","English","forward","forward language","24.179.194.192","Friday","21/03/2017 15:36","21/03/2017 15:37",1,"single","forward gesture"
"2","Yes","1","Definitely yes","It's ambiguous if he meant Monday or Friday.",13,"34","male","right-handed","English","forward","forward language","67.11.212.123","Friday","21/03/2017 15:44","21/03/2017 15:46",1,"single","forward gesture"
"3","Yes","2","Definitely yes",NA,13,"25","male","right-handed","English","backward","forward language","69.130.122.37","Friday","21/03/2017 15:45","21/03/2017 15:49",2,"multiple","backward gesture"
"4","Yes","1","Definitely yes","No",13,"26","male","right-handed","English","forward","backward language","73.53.100.228","Friday","21/03/2017 16:11","21/03/2017 16:12",1,"single","forward gesture"
"5","Yes","1","Definitely yes","The question can be interpreted two ways, depending on each person who listens to it. ""Forward"" is ambiguous when talking about days of the week, since it could move in either direction for a lot of people.",13,"31","female","right-handed","English","forward","forward language","50.137.142.118","Monday","21/03/2017 16:11","21/03/2017 16:16",1,"single","forward gesture"
"6","Yes","1","Definitely yes",NA,13,"40","male","right-handed","English","forward","backward language","107.219.126.149","Monday","21/03/2017 16:20","21/03/2017 16:22",1,"single","forward gesture"
"7","Yes","1","Definitely yes","He moved his hand towards himself/forward away from us.",13,"22","male","right-handed","English, Spanish","backward","forward language","128.151.20.238","Monday","21/03/2017 15:30","21/03/2017 15:31",1,"single","backward gesture"
"8","Yes","1","Definitely yes","It was a weird hand gesture",13,"31","male","right-handed","English","forward","backward language","67.186.29.207","Monday","21/03/2017 15:39","21/03/2017 15:39",1,"single","forward gesture"
"9","Yes","1","Definitely yes","nope",13,"32","female","right-handed","english","backward","forward language","68.104.245.191","Friday","21/03/2017 16:12","21/03/2017 16:24",1,"single","backward gesture"
"10","Yes","once","Definitely yes","not particularly",13,"25","male","right-handed","english","forward","forward language","184.166.87.77","Monday","21/03/2017 16:11","21/03/2017 16:12",1,"single","forward gesture"
"11","Yes","2","Definitely yes",NA,13,"33","female","right-handed","english","backward","backward language","50.152.61.40","Monday","21/03/2017 15:31","21/03/2017 15:33",2,"multiple","backward gesture"
"12","Yes","twice","Probably yes","He moved his hand towards his chest when he said ""backwards"".",13,"27","male","right-handed","english","backward","backward language","172.113.160.244","Friday","21/03/2017 15:29","21/03/2017 15:31",2,"multiple","backward gesture"
"13","Yes","2","Definitely yes",NA,13,"29","female","right-handed","English","forward","forward language","86.31.249.104","Friday","18/03/2017 07:32","18/03/2017 09:06",2,"multiple","forward gesture"
"14","Yes","twice","Probably yes","Not really",13,"28","male","right-handed","English","forward","backward language","65.126.43.116","Monday","21/03/2017 15:32","21/03/2017 15:35",2,"multiple","forward gesture"
"15","Yes","1","Definitely yes",NA,13,"22","female","right-handed","english","backward","backward language","108.219.9.131","Monday","21/03/2017 16:11","21/03/2017 16:13",1,"single","backward gesture"
"16","Yes","1","Definitely yes","He moved his hand backward. but the meeting was moved forward",13,"27","male","right-handed","English/spanish","backward","forward language","73.205.202.129","Monday","21/03/2017 16:11","21/03/2017 16:12",1,"single","backward gesture"
"17","Yes","1","Probably not",NA,13,"29","male","right-handed","English","backward","backward language","108.81.4.13","Monday","21/03/2017 15:50","21/03/2017 15:51",1,"single","backward gesture"
"18","Yes","1","Definitely yes","The person moved his hands from in front of him back towards his body",13,"34","male","right-handed","English","backward","backward language","73.102.20.62","Monday","22/03/2017 05:43","22/03/2017 05:44",1,"single","backward gesture"
"19","Yes","1","Definitely yes","he didn't speak clearly",13,"33","male","right-handed","english","forward","backward language","148.74.16.168","Monday","22/03/2017 05:55","22/03/2017 05:56",1,"single","forward gesture"
"20","Yes","1","Definitely yes","He seems like a nice guy, very matter of fact.",13,"28","male","right-handed","English","backward","backward language","71.28.233.232","Friday","22/03/2017 05:58","22/03/2017 05:59",1,"single","backward gesture"
"21","Yes","1","Definitely yes","The gesture made me think backwards instead of forwards at first.",13,"42","male","right-handed","English","backward","forward language","216.57.222.134","Monday","22/03/2017 05:59","22/03/2017 06:02",1,"single","backward gesture"
"22","Yes","once","Definitely yes","No, I do not believe so.",13,"26","male","right-handed","English","forward","forward language","67.241.222.4","Friday","22/03/2017 06:40","22/03/2017 06:41",1,"single","forward gesture"
"23","Yes","1","Definitely yes",NA,13,"51","female","right-handed","english","backward","forward language","73.23.153.157","Friday","22/03/2017 06:49","22/03/2017 06:51",1,"single","backward gesture"
"24","Yes","1","Definitely yes","Had a different accent",13,"32","male","right-handed","English","backward","forward language","67.166.203.19","Monday","22/03/2017 06:38","22/03/2017 06:40",1,"single","backward gesture"
"25","Yes","1","Definitely yes","None",13,"32","female","right-handed","English","backward","backward language","73.252.95.15","Monday","22/03/2017 05:43","22/03/2017 05:43",1,"single","backward gesture"
"26","Yes","one","Definitely yes",NA,13,"32","male","right-handed","english","backward","backward language","67.231.34.162","Monday","22/03/2017 05:43","22/03/2017 05:45",1,"single","backward gesture"
"27","Yes","1","Definitely yes",NA,13,"36","female","left-handed","English","backward","backward language","104.14.110.135","Monday","22/03/2017 05:43","22/03/2017 05:45",1,"single","backward gesture"
"28","Yes","1","Definitely yes","N/A",13,"30","female","right-handed","English","backward","backward language","68.64.121.138","Monday","22/03/2017 06:36","22/03/2017 06:37",1,"single","backward gesture"
"29","Yes","1","Definitely yes",NA,13,"41","male","right-handed","English","forward","forward language","184.89.146.22","Friday","22/03/2017 08:31","22/03/2017 08:32",1,"single","forward gesture"
"30","Yes","1","Definitely yes","They hand gesture was odd",13,"22","female","ambidextrous","English","backward","backward language","128.177.161.180","Monday","22/03/2017 08:39","22/03/2017 08:40",1,"single","backward gesture"
"31","Yes","1","Probably yes","I wondered if they gestured that way because they sounded foreign.",13,"38","female","right-handed","English","backward","forward language","47.153.134.71","Monday","22/03/2017 08:40","22/03/2017 08:41",1,"single","backward gesture"
"32","Yes","1","Definitely yes",NA,13,"29","male","right-handed","English, Spanish","forward","backward language","177.237.19.21","Monday","22/03/2017 08:49","22/03/2017 08:51",1,"single","forward gesture"
"33","Yes","once","Definitely yes","he had his hand positioned sideways and moved it forward when he said forward",13,"28","male","right-handed","english","forward","forward language","68.42.168.90","Friday","22/03/2017 05:47","22/03/2017 05:48",1,"single","forward gesture"
"34","Yes","1","Probably yes","Seemed very unnatural...but besides that, it seemed fine I guess.",13,"33","male","right-handed","English","forward","backward language","68.185.239.53","Monday","22/03/2017 08:33","22/03/2017 08:34",1,"single","forward gesture"
"35","Yes","2","Definitely yes",NA,13,"36","female","right-handed","English","backward","backward language","192.180.140.240","Monday","22/03/2017 08:33","22/03/2017 08:34",2,"multiple","backward gesture"
"36","Yes","1","Definitely yes","he was saying forward but moving his hand backwards (relative to his pov)",13,"21","male","right-handed","english","backward","forward language","107.202.43.166","Friday","22/03/2017 08:31","22/03/2017 08:31",1,"single","backward gesture"
"37","Yes","one","Definitely yes","I feel the question is one that different people could view differently. However, I feel moving something forward means ""earlier"". The gesture of moving his hand forward while emphasizing the word was quite odd.",13,"24","female","left-handed","English","forward","forward language","174.76.247.219","Monday","22/03/2017 08:39","22/03/2017 08:42",1,"single","forward gesture"
"38","Yes","1","Definitely yes","no",13,"24","male","right-handed","English","forward","forward language","199.21.164.162","Friday","22/03/2017 09:26","22/03/2017 09:27",1,"single","forward gesture"
